health_record_id,pet_id,checkup_date,health_status,vaccination_status
1294,935,2019-11-01,Healthy,Up to Date
1295,1023,2019-11-01,Healthy,Up to Date
1296,1137,2019-11-01,Healthy,Up to Date
1297,1312,2019-11-01,Needs Care,Up to Date
1298,1322,2019-11-01,Needs Care,Up to Date
1299,1706,2019-11-01,Healthy,Up to Date
1300,1885,2019-11-01,Healthy,Up to Date
1301,1938,2019-11-01,Healthy,Up to Date
1302,1995,2019-11-01,Healthy,Up to Date
1303,74,2019-11-02,Healthy,Up to Date
1304,393,2019-11-02,Healthy,Up to Date
1305,1779,2019-11-02,Healthy,Up to Date
1306,139,2019-11-03,Healthy,Up to Date
1307,227,2019-11-03,Healthy,Up to Date
1308,1449,2019-11-03,Healthy,Up to Date
1309,198,2019-11-04,Healthy,Up to Date
1310,224,2019-11-04,Healthy,Up to Date
1311,374,2019-11-05,Special Attention,Up to Date
1312,969,2019-11-06,Healthy,Up to Date
1313,91,2019-11-07,Healthy,Up to Date
1314,517,2019-11-07,Healthy,Up to Date
1315,734,2019-11-07,Healthy,Up to Date
1316,1179,2019-11-07,Needs Care,Up to Date
1317,1525,2019-11-07,Healthy,Up to Date
1318,1713,2019-11-07,Healthy,Up to Date
1319,743,2019-11-08,Needs Care,Needs Update
1320,766,2019-11-08,Healthy,Up to Date
1321,1052,2019-11-08,Healthy,Up to Date
1322,945,2019-11-09,Healthy,Up to Date
1323,958,2019-11-09,Needs Care,Up to Date
1324,1996,2019-11-09,Healthy,Needs Update
1325,835,2019-11-11,Healthy,Up to Date
1326,588,2019-11-12,Healthy,Up to Date
1327,1304,2019-11-12,Healthy,Up to Date
1328,871,2019-11-13,Healthy,Up to Date
1329,1083,2019-11-13,Needs Care,Up to Date
1330,1540,2019-11-13,Healthy,Up to Date
1331,1545,2019-11-13,Under Observation,Up to Date
1332,1581,2019-11-13,Healthy,Needs Update
1333,971,2019-11-14,Healthy,Up to Date
1334,1759,2019-11-14,Healthy,Up to Date
1335,598,2019-11-15,Healthy,Up to Date
1336,1680,2019-11-15,Under Observation,Up to Date
1337,1710,2019-11-15,Needs Care,Up to Date
1338,751,2019-11-18,Healthy,Up to Date
1339,1037,2019-11-18,Healthy,Up to Date
1340,1086,2019-11-18,Healthy,Up to Date
1341,1823,2019-11-18,Healthy,Up to Date
1342,790,2019-11-19,Needs Care,Up to Date
1343,1324,2019-11-19,Healthy,Up to Date
1344,1457,2019-11-19,Healthy,Up to Date
1345,227,2019-11-20,Needs Care,Up to Date
1346,307,2019-11-20,Healthy,Up to Date
1347,616,2019-11-20,Needs Care,Up to Date
1348,1127,2019-11-20,Needs Care,Up to Date
1349,103,2019-11-21,Healthy,Up to Date
1350,909,2019-11-22,Healthy,Up to Date
1351,596,2019-11-23,Healthy,Up to Date
1352,905,2019-11-23,Healthy,Up to Date
1353,622,2019-11-25,Healthy,Up to Date
1354,1566,2019-11-25,Healthy,Up to Date
1355,70,2019-11-26,Healthy,Up to Date
1356,176,2019-11-26,Needs Care,Up to Date
1357,1897,2019-11-26,Healthy,Up to Date
1358,1867,2019-11-28,Needs Care,Up to Date
1359,58,2019-11-29,Healthy,Up to Date
1360,262,2019-11-29,Healthy,Up to Date
1361,178,2019-11-30,Needs Care,Up to Date
1362,1388,2019-11-30,Healthy,Up to Date
1363,1407,2019-11-30,Healthy,Up to Date
1364,1409,2019-11-30,Under Observation,Up to Date
1365,1527,2019-11-30,Healthy,Up to Date
1366,133,2019-12-01,Healthy,Up to Date
1367,203,2019-12-01,Healthy,Up to Date
1368,409,2019-12-01,Healthy,Up to Date
1369,1032,2019-12-01,Healthy,Needs Update
1370,1309,2019-12-01,Needs Care,Up to Date
1371,1331,2019-12-01,Healthy,Up to Date
1372,1423,2019-12-01,Healthy,Up to Date
1373,1446,2019-12-01,Healthy,Up to Date
1374,1699,2019-12-01,Healthy,Up to Date
1375,1726,2019-12-01,Healthy,Needs Update
1376,1782,2019-12-01,Healthy,Up to Date
1377,1869,2019-12-01,Healthy,Up to Date
1378,1898,2019-12-01,Needs Care,Up to Date
1379,1964,2019-12-01,Healthy,Up to Date
1380,51,2019-12-02,Needs Care,Up to Date
1381,193,2019-12-02,Healthy,Up to Date
1382,979,2019-12-02,Healthy,Up to Date
1383,1573,2019-12-02,Needs Care,Up to Date
1384,1624,2019-12-02,Healthy,Up to Date
1385,1638,2019-12-02,Under Observation,Up to Date
1386,314,2019-12-03,Healthy,Up to Date
1387,604,2019-12-03,Healthy,Up to Date
1388,1856,2019-12-03,Healthy,Up to Date
1389,559,2019-12-04,Under Observation,Up to Date
1390,1512,2019-12-04,Under Observation,Up to Date
1391,1775,2019-12-05,Special Attention,Up to Date
1392,80,2019-12-06,Needs Care,Up to Date
1393,88,2019-12-06,Healthy,Up to Date
1394,160,2019-12-06,Under Observation,Up to Date
1395,1858,2019-12-06,Needs Care,Up to Date
1396,821,2019-12-07,Needs Care,Needs Update
1397,1354,2019-12-07,Special Attention,Up to Date
1398,460,2019-12-09,Healthy,Up to Date
1399,614,2019-12-09,Healthy,Up to Date
1400,1519,2019-12-09,Needs Care,Up to Date
1401,442,2019-12-11,Healthy,Up to Date
1402,1726,2019-12-11,Under Observation,Up to Date
1403,359,2019-12-12,Healthy,Up to Date
1404,767,2019-12-14,Healthy,Up to Date
1405,1876,2019-12-14,Healthy,Up to Date
1406,189,2019-12-15,Needs Care,Up to Date
1407,270,2019-12-15,Healthy,Up to Date
1408,1067,2019-12-15,Healthy,Up to Date
1409,1792,2019-12-15,Healthy,Up to Date
1410,1929,2019-12-17,Healthy,Up to Date
1411,6,2019-12-18,Special Attention,Up to Date
1412,21,2019-12-18,Healthy,Up to Date
1413,1021,2019-12-18,Healthy,Up to Date
1414,1406,2019-12-18,Healthy,Up to Date
1415,1525,2019-12-18,Needs Care,Up to Date
1416,854,2019-12-19,Healthy,Up to Date
1417,1185,2019-12-19,Healthy,Up to Date
1418,1494,2019-12-19,Needs Care,Up to Date
1419,1181,2019-12-20,Healthy,Up to Date
1420,1387,2019-12-20,Healthy,Up to Date
1421,1208,2019-12-21,Needs Care,Up to Date
1422,1409,2019-12-21,Healthy,Up to Date
1423,906,2019-12-22,Healthy,Up to Date
1424,995,2019-12-23,Healthy,Up to Date
1425,1436,2019-12-23,Healthy,Needs Update
1426,1865,2019-12-23,Needs Care,Up to Date
1427,1194,2019-12-24,Needs Care,Up to Date
1428,1538,2019-12-26,Healthy,Up to Date
1429,319,2019-12-27,Needs Care,Up to Date
1430,658,2019-12-27,Healthy,Up to Date
1431,1328,2019-12-27,Healthy,Up to Date
1432,409,2019-12-28,Healthy,Up to Date
1433,1848,2019-12-28,Needs Care,Up to Date
1434,185,2019-12-29,Needs Care,Up to Date
1435,133,2019-12-30,Needs Care,Up to Date
1436,1408,2019-12-30,Healthy,Needs Update
1437,1763,2019-12-30,Healthy,Needs Update
1438,1816,2019-12-30,Healthy,Up to Date
1439,1957,2019-12-31,Needs Care,Up to Date
1440,155,2020-01-01,Healthy,Up to Date
1441,405,2020-01-01,Needs Care,Up to Date
1442,486,2020-01-01,Healthy,Up to Date
1443,565,2020-01-01,Healthy,Up to Date
1444,702,2020-01-01,Needs Care,Up to Date
1445,881,2020-01-01,Needs Care,Up to Date
1446,903,2020-01-01,Healthy,Up to Date
1447,1116,2020-01-01,Healthy,Up to Date
1448,1136,2020-01-01,Healthy,Up to Date
1449,1368,2020-01-01,Healthy,Up to Date
1450,1459,2020-01-01,Needs Care,Up to Date
1451,1600,2020-01-01,Healthy,Up to Date
1452,1651,2020-01-01,Needs Care,Up to Date
1453,1855,2020-01-01,Needs Care,Up to Date
1454,1917,2020-01-01,Healthy,Up to Date
1455,1946,2020-01-01,Healthy,Up to Date
1456,1987,2020-01-01,Needs Care,Up to Date
1457,696,2020-01-02,Healthy,Up to Date
1458,1606,2020-01-02,Healthy,Up to Date
1459,1833,2020-01-02,Needs Care,Up to Date
1460,1367,2020-01-03,Healthy,Up to Date
1461,1616,2020-01-03,Healthy,Up to Date
1462,1627,2020-01-03,Healthy,Up to Date
1463,1981,2020-01-03,Needs Care,Up to Date
1464,697,2020-01-04,Healthy,Up to Date
1465,285,2020-01-05,Healthy,Up to Date
1466,1861,2020-01-05,Healthy,Up to Date
1467,729,2020-01-06,Healthy,Up to Date
1468,238,2020-01-07,Healthy,Up to Date
1469,599,2020-01-08,Needs Care,Up to Date
1470,670,2020-01-08,Needs Care,Up to Date
1471,1023,2020-01-08,Special Attention,Up to Date
1472,1087,2020-01-09,Needs Care,Up to Date
1473,1692,2020-01-09,Healthy,Up to Date
1474,1985,2020-01-09,Needs Care,Up to Date
1475,283,2020-01-10,Healthy,Up to Date
1476,520,2020-01-10,Healthy,Up to Date
1477,1607,2020-01-10,Healthy,Up to Date
1478,1945,2020-01-10,Needs Care,Up to Date
1479,1006,2020-01-11,Special Attention,Up to Date
1480,1507,2020-01-11,Healthy,Up to Date
1481,315,2020-01-12,Healthy,Up to Date
1482,376,2020-01-13,Needs Care,Needs Update
1483,446,2020-01-13,Special Attention,Up to Date
1484,1579,2020-01-14,Needs Care,Up to Date
1485,1825,2020-01-14,Needs Care,Up to Date
1486,749,2020-01-16,Healthy,Up to Date
1487,269,2020-01-17,Healthy,Up to Date
1488,411,2020-01-17,Healthy,Up to Date
1489,803,2020-01-17,Needs Care,Up to Date
1490,1948,2020-01-17,Needs Care,Up to Date
1491,353,2020-01-18,Needs Care,Up to Date
1492,662,2020-01-18,Needs Care,Up to Date
1493,1292,2020-01-18,Healthy,Up to Date
1494,1344,2020-01-18,Needs Care,Up to Date
1495,463,2020-01-19,Healthy,Up to Date
1496,630,2020-01-19,Needs Care,Up to Date
1497,649,2020-01-19,Healthy,Up to Date
1498,1265,2020-01-19,Healthy,Up to Date
1499,1951,2020-01-19,Healthy,Up to Date
1500,412,2020-01-20,Needs Care,Up to Date
1501,1227,2020-01-20,Special Attention,Up to Date
1502,1796,2020-01-20,Healthy,Up to Date
1503,78,2020-01-21,Needs Care,Up to Date
1504,95,2020-01-21,Healthy,Up to Date
1505,569,2020-01-21,Healthy,Up to Date
1506,1149,2020-01-21,Needs Care,Up to Date
1507,520,2020-01-22,Healthy,Up to Date
1508,980,2020-01-22,Healthy,Up to Date
1509,1420,2020-01-22,Healthy,Up to Date
1510,1892,2020-01-22,Needs Care,Up to Date
1511,1591,2020-01-24,Special Attention,Up to Date
1512,1819,2020-01-24,Needs Care,Needs Update
1513,1150,2020-01-25,Needs Care,Up to Date
1514,634,2020-01-26,Healthy,Up to Date
1515,1747,2020-01-26,Healthy,Up to Date
1516,470,2020-01-27,Healthy,Up to Date
1517,545,2020-01-27,Special Attention,Up to Date
1518,870,2020-01-27,Healthy,Up to Date
1519,1274,2020-01-27,Healthy,Needs Update
1520,638,2020-01-28,Healthy,Up to Date
1521,1528,2020-01-28,Needs Care,Up to Date
1522,8,2020-01-29,Healthy,Up to Date
1523,657,2020-01-29,Healthy,Up to Date
1524,947,2020-01-30,Healthy,Up to Date
1525,989,2020-01-30,Needs Care,Up to Date
1526,1016,2020-01-30,Healthy,Up to Date
1527,1602,2020-01-30,Special Attention,Up to Date
1528,1647,2020-01-30,Healthy,Up to Date
1529,1703,2020-01-30,Healthy,Up to Date
1530,877,2020-01-31,Healthy,Up to Date
1531,5,2020-02-01,Needs Care,Up to Date
1532,79,2020-02-01,Healthy,Up to Date
1533,102,2020-02-01,Healthy,Up to Date
1534,213,2020-02-01,Needs Care,Up to Date
1535,401,2020-02-01,Needs Care,Up to Date
1536,478,2020-02-01,Healthy,Up to Date
1537,563,2020-02-01,Healthy,Up to Date
1538,692,2020-02-01,Needs Care,Up to Date
1539,762,2020-02-01,Healthy,Up to Date
1540,923,2020-02-01,Needs Care,Up to Date
1541,990,2020-02-01,Needs Care,Up to Date
1542,1022,2020-02-01,Needs Care,Needs Update
1543,1100,2020-02-01,Healthy,Up to Date
1544,1117,2020-02-01,Healthy,Up to Date
1545,1159,2020-02-01,Needs Care,Up to Date
1546,1176,2020-02-01,Healthy,Up to Date
1547,1340,2020-02-01,Healthy,Up to Date
1548,1485,2020-02-01,Needs Care,Up to Date
1549,1781,2020-02-01,Healthy,Up to Date
1550,1826,2020-02-01,Healthy,Up to Date
1551,1840,2020-02-01,Healthy,Up to Date
1552,682,2020-02-02,Needs Care,Up to Date
1553,1129,2020-02-02,Healthy,Needs Update
1554,1371,2020-02-03,Healthy,Up to Date
1555,647,2020-02-04,Needs Care,Up to Date
1556,1121,2020-02-04,Healthy,Up to Date
1557,364,2020-02-05,Healthy,Up to Date
1558,418,2020-02-05,Healthy,Needs Update
1559,591,2020-02-05,Needs Care,Up to Date
1560,816,2020-02-05,Healthy,Up to Date
1561,1045,2020-02-05,Needs Care,Up to Date
1562,1708,2020-02-05,Needs Care,Up to Date
1563,478,2020-02-06,Needs Care,Up to Date
1564,1260,2020-02-07,Healthy,Up to Date
1565,895,2020-02-08,Special Attention,Up to Date
1566,1263,2020-02-08,Needs Care,Needs Update
1567,1395,2020-02-10,Healthy,Up to Date
1568,1849,2020-02-10,Healthy,Up to Date
1569,1588,2020-02-11,Needs Care,Needs Update
1570,347,2020-02-12,Healthy,Up to Date
1571,807,2020-02-12,Healthy,Up to Date
1572,1928,2020-02-12,Needs Care,Up to Date
1573,223,2020-02-13,Healthy,Up to Date
1574,536,2020-02-13,Under Observation,Up to Date
1575,683,2020-02-13,Healthy,Up to Date
1576,1074,2020-02-13,Under Observation,Up to Date
1577,360,2020-02-14,Healthy,Up to Date
1578,154,2020-02-15,Needs Care,Up to Date
1579,928,2020-02-15,Needs Care,Up to Date
1580,650,2020-02-17,Healthy,Up to Date
1581,242,2020-02-18,Needs Care,Up to Date
1582,664,2020-02-18,Healthy,Up to Date
1583,68,2020-02-19,Needs Care,Up to Date
1584,973,2020-02-19,Healthy,Up to Date
1585,1164,2020-02-19,Healthy,Up to Date
1586,1504,2020-02-19,Healthy,Up to Date
1587,39,2020-02-20,Needs Care,Up to Date
1588,756,2020-02-20,Healthy,Up to Date
1589,986,2020-02-20,Needs Care,Up to Date
1590,762,2020-02-21,Healthy,Up to Date
1591,116,2020-02-22,Healthy,Up to Date
1592,543,2020-02-23,Healthy,Up to Date
1593,857,2020-02-23,Healthy,Up to Date
1594,1013,2020-02-23,Healthy,Up to Date
1595,1243,2020-02-23,Healthy,Up to Date
1596,1363,2020-02-23,Healthy,Up to Date
1597,153,2020-02-24,Under Observation,Up to Date
1598,1044,2020-02-24,Healthy,Needs Update
1599,1103,2020-02-24,Healthy,Up to Date
1600,1583,2020-02-24,Under Observation,Up to Date
1601,1730,2020-02-24,Healthy,Needs Update
1602,34,2020-02-25,Healthy,Up to Date
1603,1070,2020-02-26,Needs Care,Up to Date
1604,1654,2020-02-26,Needs Care,Up to Date
1605,24,2020-02-27,Healthy,Up to Date
1606,1768,2020-02-27,Needs Care,Up to Date
1607,1108,2020-02-28,Healthy,Up to Date
1608,1111,2020-02-28,Needs Care,Up to Date
1609,1618,2020-02-28,Needs Care,Up to Date
1610,1941,2020-02-28,Needs Care,Up to Date
1611,421,2020-02-29,Healthy,Up to Date
1612,1371,2020-02-29,Healthy,Up to Date
1613,542,2020-03-01,Healthy,Up to Date
1614,587,2020-03-01,Healthy,Up to Date
1615,693,2020-03-01,Healthy,Up to Date
1616,748,2020-03-01,Needs Care,Up to Date
1617,824,2020-03-01,Healthy,Up to Date
1618,840,2020-03-01,Healthy,Up to Date
1619,1307,2020-03-01,Healthy,Up to Date
1620,1349,2020-03-01,Healthy,Up to Date
1621,1514,2020-03-01,Healthy,Up to Date
1622,1553,2020-03-01,Healthy,Up to Date
1623,1582,2020-03-01,Healthy,Up to Date
1624,1635,2020-03-01,Needs Care,Up to Date
1625,1741,2020-03-01,Healthy,Up to Date
1626,1870,2020-03-01,Healthy,Up to Date
1627,1890,2020-03-01,Special Attention,Up to Date
1628,40,2020-03-02,Healthy,Up to Date
1629,1586,2020-03-02,Healthy,Up to Date
1630,1903,2020-03-02,Healthy,Up to Date
1631,1718,2020-03-03,Healthy,Up to Date
1632,671,2020-03-04,Healthy,Up to Date
1633,1969,2020-03-04,Healthy,Up to Date
1634,1182,2020-03-05,Healthy,Up to Date
1635,1394,2020-03-05,Healthy,Up to Date
1636,1456,2020-03-05,Healthy,Up to Date
1637,863,2020-03-06,Healthy,Up to Date
1638,924,2020-03-07,Healthy,Up to Date
1639,1075,2020-03-08,Needs Care,Up to Date
1640,1184,2020-03-08,Needs Care,Up to Date
1641,1398,2020-03-08,Healthy,Up to Date
1642,5,2020-03-09,Healthy,Up to Date
1643,422,2020-03-09,Healthy,Up to Date
1644,506,2020-03-09,Special Attention,Up to Date
1645,1282,2020-03-09,Needs Care,Up to Date
1646,1818,2020-03-09,Healthy,Up to Date
1647,278,2020-03-10,Healthy,Up to Date
1648,1358,2020-03-10,Healthy,Up to Date
1649,1687,2020-03-10,Needs Care,Up to Date
1650,1945,2020-03-10,Healthy,Up to Date
1651,194,2020-03-11,Healthy,Up to Date
1652,534,2020-03-11,Healthy,Up to Date
1653,1518,2020-03-11,Needs Care,Up to Date
1654,53,2020-03-14,Healthy,Up to Date
1655,420,2020-03-14,Healthy,Up to Date
1656,639,2020-03-14,Healthy,Up to Date
1657,1520,2020-03-14,Healthy,Up to Date
1658,590,2020-03-15,Needs Care,Up to Date
1659,597,2020-03-15,Healthy,Up to Date
1660,913,2020-03-15,Healthy,Up to Date
1661,1097,2020-03-15,Needs Care,Up to Date
1662,454,2020-03-16,Under Observation,Up to Date
1663,791,2020-03-16,Healthy,Needs Update
1664,1022,2020-03-16,Needs Care,Up to Date
1665,1156,2020-03-16,Healthy,Up to Date
1666,1965,2020-03-16,Healthy,Needs Update
1667,1986,2020-03-16,Healthy,Up to Date
1668,820,2020-03-17,Healthy,Needs Update
1669,1209,2020-03-17,Healthy,Up to Date
1670,1908,2020-03-17,Healthy,Up to Date
1671,335,2020-03-18,Needs Care,Up to Date
1672,841,2020-03-18,Healthy,Up to Date
1673,1159,2020-03-18,Healthy,Up to Date
1674,1254,2020-03-18,Special Attention,Up to Date
1675,1835,2020-03-18,Healthy,Up to Date
1676,1405,2020-03-20,Needs Care,Up to Date
1677,1818,2020-03-20,Healthy,Up to Date
1678,927,2020-03-21,Healthy,Up to Date
1679,560,2020-03-22,Healthy,Up to Date
1680,678,2020-03-22,Needs Care,Up to Date
1681,1079,2020-03-22,Needs Care,Needs Update
1682,98,2020-03-23,Healthy,Needs Update
1683,427,2020-03-24,Healthy,Up to Date
1684,972,2020-03-24,Healthy,Up to Date
1685,1298,2020-03-24,Needs Care,Up to Date
1686,1968,2020-03-24,Healthy,Up to Date
1687,137,2020-03-26,Healthy,Up to Date
1688,706,2020-03-26,Healthy,Up to Date
1689,1595,2020-03-26,Healthy,Up to Date
1690,879,2020-03-28,Needs Care,Up to Date
1691,106,2020-03-30,Needs Care,Up to Date
1692,437,2020-03-30,Healthy,Up to Date
1693,603,2020-03-30,Healthy,Up to Date
1694,960,2020-03-30,Healthy,Up to Date
1695,1035,2020-03-30,Healthy,Up to Date
1696,1120,2020-03-30,Healthy,Up to Date
1697,1437,2020-03-30,Healthy,Up to Date
1698,1466,2020-03-30,Needs Care,Up to Date
1699,1954,2020-03-30,Healthy,Up to Date
1700,135,2020-04-01,Needs Care,Up to Date
1701,266,2020-04-01,Healthy,Up to Date
1702,480,2020-04-01,Needs Care,Up to Date
1703,509,2020-04-01,Under Observation,Up to Date
1704,732,2020-04-01,Special Attention,Up to Date
1705,749,2020-04-01,Healthy,Up to Date
1706,774,2020-04-01,Needs Care,Up to Date
1707,779,2020-04-01,Needs Care,Up to Date
1708,786,2020-04-01,Healthy,Up to Date
1709,890,2020-04-01,Needs Care,Up to Date
1710,952,2020-04-01,Healthy,Up to Date
1711,1222,2020-04-01,Healthy,Up to Date
1712,1270,2020-04-01,Healthy,Up to Date
1713,1353,2020-04-01,Needs Care,Up to Date
1714,1362,2020-04-01,Needs Care,Up to Date
1715,1448,2020-04-01,Healthy,Up to Date
1716,1605,2020-04-01,Needs Care,Up to Date
1717,1640,2020-04-01,Needs Care,Up to Date
1718,1743,2020-04-01,Needs Care,Up to Date
1719,1769,2020-04-01,Healthy,Up to Date
1720,1777,2020-04-01,Needs Care,Up to Date
1721,128,2020-04-02,Special Attention,Up to Date
1722,1166,2020-04-02,Healthy,Up to Date
1723,1712,2020-04-02,Healthy,Up to Date
1724,1839,2020-04-02,Healthy,Up to Date
1725,148,2020-04-03,Needs Care,Up to Date
1726,622,2020-04-03,Under Observation,Up to Date
1727,965,2020-04-03,Special Attention,Up to Date
1728,1341,2020-04-03,Healthy,Up to Date
1729,500,2020-04-04,Healthy,Up to Date
1730,579,2020-04-04,Healthy,Up to Date
1731,809,2020-04-04,Healthy,Up to Date
1732,1055,2020-04-04,Needs Care,Up to Date
1733,1587,2020-04-04,Needs Care,Needs Update
1734,1854,2020-04-04,Healthy,Up to Date
1735,112,2020-04-05,Healthy,Up to Date
1736,850,2020-04-05,Healthy,Up to Date
1737,1030,2020-04-05,Healthy,Up to Date
1738,210,2020-04-06,Healthy,Up to Date
1739,1942,2020-04-06,Healthy,Up to Date
1740,584,2020-04-07,Needs Care,Up to Date
1741,338,2020-04-08,Needs Care,Needs Update
1742,620,2020-04-08,Healthy,Up to Date
1743,1672,2020-04-08,Healthy,Up to Date
1744,393,2020-04-09,Healthy,Up to Date
1745,1365,2020-04-09,Healthy,Up to Date
1746,1431,2020-04-10,Needs Care,Up to Date
1747,1445,2020-04-10,Healthy,Up to Date
1748,400,2020-04-11,Healthy,Needs Update
1749,418,2020-04-11,Needs Care,Up to Date
1750,1596,2020-04-11,Special Attention,Needs Update
1751,1787,2020-04-11,Under Observation,Up to Date
1752,318,2020-04-12,Healthy,Up to Date
1753,494,2020-04-12,Healthy,Up to Date
1754,828,2020-04-12,Needs Care,Up to Date
1755,1503,2020-04-12,Healthy,Needs Update
1756,557,2020-04-13,Needs Care,Up to Date
1757,1700,2020-04-13,Needs Care,Up to Date
1758,1843,2020-04-13,Healthy,Needs Update
1759,1982,2020-04-13,Needs Care,Up to Date
1760,664,2020-04-15,Needs Care,Up to Date
1761,354,2020-04-16,Healthy,Up to Date
1762,1330,2020-04-16,Healthy,Needs Update
1763,1868,2020-04-16,Needs Care,Up to Date
1764,269,2020-04-17,Healthy,Up to Date
1765,342,2020-04-17,Healthy,Up to Date
1766,955,2020-04-17,Needs Care,Up to Date
1767,1114,2020-04-17,Needs Care,Up to Date
1768,1857,2020-04-17,Healthy,Up to Date
1769,158,2020-04-18,Under Observation,Up to Date
1770,673,2020-04-18,Healthy,Up to Date
1771,878,2020-04-18,Healthy,Needs Update
1772,989,2020-04-18,Healthy,Up to Date
1773,1198,2020-04-19,Needs Care,Needs Update
1774,1320,2020-04-19,Special Attention,Up to Date
1775,897,2020-04-20,Healthy,Up to Date
1776,1048,2020-04-20,Needs Care,Up to Date
1777,1539,2020-04-20,Needs Care,Up to Date
1778,1817,2020-04-20,Needs Care,Up to Date
1779,505,2020-04-21,Healthy,Up to Date
1780,653,2020-04-21,Healthy,Up to Date
1781,683,2020-04-21,Healthy,Up to Date
1782,785,2020-04-21,Healthy,Up to Date
1783,1039,2020-04-21,Healthy,Up to Date
1784,464,2020-04-22,Healthy,Up to Date
1785,724,2020-04-22,Needs Care,Up to Date
1786,896,2020-04-22,Healthy,Up to Date
1787,994,2020-04-22,Healthy,Up to Date
1788,17,2020-04-23,Under Observation,Up to Date
1789,1934,2020-04-23,Healthy,Up to Date
1790,582,2020-04-24,Healthy,Up to Date
1791,856,2020-04-24,Needs Care,Up to Date
1792,1860,2020-04-24,Healthy,Up to Date
1793,810,2020-04-25,Healthy,Up to Date
1794,1286,2020-04-25,Healthy,Up to Date
1795,1317,2020-04-25,Special Attention,Up to Date
1796,1909,2020-04-25,Special Attention,Up to Date
1797,590,2020-04-26,Healthy,Up to Date
1798,1129,2020-04-26,Healthy,Up to Date
1799,1648,2020-04-26,Needs Care,Up to Date
1800,362,2020-04-27,Special Attention,Needs Update
1801,838,2020-04-27,Healthy,Up to Date
1802,1571,2020-04-27,Healthy,Needs Update
1803,1384,2020-04-28,Healthy,Up to Date
1804,67,2020-04-29,Needs Care,Up to Date
1805,99,2020-04-29,Healthy,Up to Date
1806,801,2020-04-29,Healthy,Up to Date
1807,1167,2020-04-29,Healthy,Up to Date
1808,1206,2020-04-29,Healthy,Up to Date
1809,1296,2020-04-29,Healthy,Needs Update
1810,1612,2020-04-29,Healthy,Needs Update
1811,1848,2020-04-29,Healthy,Up to Date
1812,1914,2020-04-29,Needs Care,Up to Date
1813,30,2020-04-30,Healthy,Up to Date
1814,623,2020-04-30,Needs Care,Up to Date
1815,738,2020-04-30,Healthy,Up to Date
1816,1197,2020-04-30,Healthy,Up to Date
1817,1296,2020-04-30,Needs Care,Up to Date
1818,1939,2020-04-30,Needs Care,Up to Date
1819,1970,2020-04-30,Needs Care,Up to Date
1820,10,2020-05-01,Healthy,Up to Date
1821,72,2020-05-01,Healthy,Up to Date
1822,117,2020-05-01,Healthy,Needs Update
1823,445,2020-05-01,Needs Care,Up to Date
1824,600,2020-05-01,Needs Care,Needs Update
1825,641,2020-05-01,Healthy,Up to Date
1826,833,2020-05-01,Needs Care,Needs Update
1827,868,2020-05-01,Healthy,Up to Date
1828,885,2020-05-01,Healthy,Needs Update
1829,900,2020-05-01,Needs Care,Up to Date
1830,914,2020-05-01,Healthy,Up to Date
1831,956,2020-05-01,Healthy,Up to Date
1832,1017,2020-05-01,Healthy,Up to Date
1833,1066,2020-05-01,Healthy,Up to Date
1834,1189,2020-05-01,Healthy,Up to Date
1835,1223,2020-05-01,Needs Care,Up to Date
1836,1408,2020-05-01,Healthy,Up to Date
1837,1502,2020-05-01,Healthy,Up to Date
1838,1534,2020-05-01,Healthy,Up to Date
1839,1609,2020-05-01,Needs Care,Up to Date
1840,1645,2020-05-01,Needs Care,Up to Date
1841,1766,2020-05-01,Healthy,Up to Date
1842,1771,2020-05-01,Healthy,Up to Date
1843,1885,2020-05-01,Needs Care,Up to Date
1844,1995,2020-05-01,Healthy,Up to Date
1845,1779,2020-05-02,Needs Care,Up to Date
1846,909,2020-05-03,Healthy,Up to Date
1847,1314,2020-05-03,Needs Care,Up to Date
1848,1449,2020-05-03,Needs Care,Needs Update
1849,1983,2020-05-03,Needs Care,Up to Date
1850,198,2020-05-04,Needs Care,Up to Date
1851,224,2020-05-04,Healthy,Up to Date
1852,674,2020-05-04,Needs Care,Up to Date
1853,1331,2020-05-04,Needs Care,Up to Date
1854,403,2020-05-07,Healthy,Up to Date
1855,734,2020-05-07,Healthy,Up to Date
1856,1179,2020-05-07,Needs Care,Up to Date
1857,1713,2020-05-07,Under Observation,Up to Date
1858,743,2020-05-08,Healthy,Up to Date
1859,766,2020-05-08,Special Attention,Up to Date
1860,275,2020-05-09,Needs Care,Up to Date
1861,958,2020-05-09,Healthy,Needs Update
1862,1996,2020-05-09,Healthy,Up to Date
1863,615,2020-05-10,Needs Care,Up to Date
1864,1805,2020-05-10,Healthy,Needs Update
1865,1982,2020-05-10,Healthy,Up to Date
1866,476,2020-05-11,Needs Care,Up to Date
1867,1202,2020-05-11,Healthy,Up to Date
1868,1714,2020-05-11,Healthy,Up to Date
1869,588,2020-05-12,Healthy,Up to Date
1870,1304,2020-05-12,Healthy,Up to Date
1871,871,2020-05-13,Special Attention,Up to Date
1872,1083,2020-05-13,Healthy,Up to Date
1873,1089,2020-05-13,Needs Care,Up to Date
1874,1540,2020-05-13,Healthy,Up to Date
1875,1545,2020-05-13,Healthy,Up to Date
1876,1581,2020-05-13,Healthy,Needs Update
1877,1890,2020-05-13,Healthy,Up to Date
